0,1,2,3,4,5
Indicator:	B	-	Central	Bank	remittance	inflows,,,,,
Sending	country,Receive	country,2022,0.188341,USD	millions,Source
Republic	of	Korea,Panama,2022,0.418495932,USD	millions,INEC
Republic	of	Moldova,Ecuador,2021,0.11212232,USD	millions,Central	Bank	Data
,Mexico,2022,0.003839,USD	millions,Central	Bank	Data
Réunion,Mexico,2022,0.000868,USD	millions,Central	Bank	Data
Romania,Ecuador,2021,0.31755202,USD	millions,Central	Bank	Data
,Mexico,2022,0.141631,USD	millions,Central	Bank	Data
,Panama,2022,0.079066158,USD	millions,INEC
Russian	Federation,Ecuador,2021,6.59514737,USD	millions,Central	Bank	Data
,Mexico,2022,0.119315,USD	millions,Central	Bank	Data
,Panama,2022,0.296639516,USD	millions,INEC
Rwanda,Ecuador,2021,0.00725502,USD	millions,Central	Bank	Data
,Mexico,2022,0.000881,USD	millions,Central	Bank	Data
Saint	Kitts	and	Nevis,Ecuador,2021,0.0178448,USD	millions,Central	Bank	Data
,Mexico,2022,0.060822,USD	millions,Central	Bank	Data
,Panama,2022,0.052720169,USD	millions,INEC
Saint	Lucia,Ecuador,2021,0.04643751,USD	millions,Central	Bank	Data
,Mexico,2022,0.00508,USD	millions,Central	Bank	Data
Saint	Martin	(French	part),Ecuador,2021,0.2454753,USD	millions,Central	Bank	Data
,Haiti,2019,1.457960757,USD	millions,Central	Bank	Data
,Jamaica,2022,0.598351012,USD	millions,Central	Bank	Data
,Mexico,2022,0.336205,USD	millions,Central	Bank	Data
Saint	Vincent	and	the,Ecuador,2021,0.00104063,USD	millions,Central	Bank	Data
Grenadines,,,,,Central	Bank	Data
,Mexico,2022,0.001745,USD	millions,
,Panama,2022,0.041102648,USD	millions,INEC
Samoa,Ecuador,2021,0.00287723,USD	millions,Central	Bank	Data
,Mexico,2022,0.000167,USD	millions,Central	Bank	Data
Sao	Tome	and	Principe,Ecuador,2021,0.00046797,USD	millions,Central	Bank	Data
Saudi	Arabia,Ecuador,2021,0.88712676,USD	millions,Central	Bank	Data
,Mexico,2022,0.596318,USD	millions,Central	Bank	Data
,Panama,2022,0.261655688,USD	millions,INEC
Senegal,Ecuador,2021,0.13695775,USD	millions,Central	Bank	Data
,Mexico,2022,0.191356,USD	millions,Central	Bank	Data
,Panama,2022,0.240844020,USD	millions,INEC
