0,1,2,3,4,5
Indicator:	B	-	Central	Bank	remittance	inflows,,,,,
Sending	country,Receive	country,2021,0.0488,USD	millions,Source
Tajikistan,Mexico,2022,0.00556,USD	millions,Central	Bank	Data
Thailand,Ecuador,2021,0.15738123,USD	millions,Central	Bank	Data
,Mexico,2022,0.08895,USD	millions,Central	Bank	Data
,Panama,2022,0.067822704,USD	millions,INEC
Timor-Leste,Mexico,2022,0.00016,USD	millions,Central	Bank	Data
Togo,Ecuador,2021,0.02248343,USD	millions,Central	Bank	Data
,Mexico,2022,0.039602,USD	millions,Central	Bank	Data
Trinidad	and	Tobago,Colombia,2022,0.589172170,USD	millions,Central	Bank	Data
,Ecuador,2021,0.37886103,USD	millions,Central	Bank	Data
,Jamaica,2022,4.549712253,USD	millions,Central	Bank	Data
,Mexico,2022,0.060013,USD	millions,Central	Bank	Data
,Panama,2022,0.095163364,USD	millions,INEC
Turkey,Ecuador,2021,1.84732415,USD	millions,Central	Bank	Data
,Mexico,2022,0.312832,USD	millions,Central	Bank	Data
,Panama,2022,0.353621388,USD	millions,INEC
Turks	and	Caicos	Islands,Ecuador,2021,0.10900262,USD	millions,Central	Bank	Data
,Haiti,2019,33.914718740,USD	millions,Central	Bank	Data
,Jamaica,2022,14.433990492,USD	millions,Central	Bank	Data
,Mexico,2022,0.103363,USD	millions,Central	Bank	Data
,Panama,2022,0.242319539,USD	millions,INEC
Uganda,Ecuador,2021,0.03159125,USD	millions,Central	Bank	Data
,Mexico,2022,0.004288,USD	millions,Central	Bank	Data
,Panama,2022,0.009844711,USD	millions,INEC
Ukraine,Ecuador,2021,2.35829893,USD	millions,Central	Bank	Data
,Mexico,2022,0.032432,USD	millions,Central	Bank	Data
,Panama,2022,0.144711259,USD	millions,INEC
United	Arab	Emirates,Colombia,2022,11.972979220,USD	millions,Central	Bank	Data
,Ecuador,2021,0.88823674,USD	millions,Central	Bank	Data
,Mexico,2022,1.108801,USD	millions,Central	Bank	Data
,Panama,2022,0.603113707,USD	millions,INEC
United	Kingdom,Brazil,2022,462.21656999,USD	millions,Central	Bank	Data
,Chile,2021,4.480732809,USD	millions,Central	Bank	Data
,Colombia,2022,269.797973655,USD	millions,Central	Bank	Data
,Ecuador,2021,71.11826076,USD	millions,Central	Bank	Data
,Jamaica,2022,287.742154116,USD	millions,Central	Bank	Data
,Mexico,2022,134.48142,USD	millions,Central	Bank	Data
,Panama,2022,1.773870157,USD	millions,INEC
United	Republic	of	Tanzania,Ecuador,2021,0.01700022,USD	millions,Central	Bank	Data
,Mexico,2022,0.020896,USD	millions,Central	Bank	Data
United	States	of	America,Bolivia,2022,298,USD	millions,Central	Bank	Data
,Brazil,2022,"2,231.74042709",USD	millions,Central	Bank	Data
,Chile,2021,139.514201313,USD	millions,Central	Bank	Data
,Colombia,2022,"5,059.152234664",USD	millions,Central	Bank	Data
,Costa	Rica,2022,"8,320.519017729",USD	millions,Central	Bank	Data
,Dominican	Republic,2022,"8,320.519017729",USD	millions,Central	Bank	Data
,Ecuador,2021,"4,981.2321893",USD	millions,Central	Bank	Data
,Haiti,2019,"1,775.362862703",USD	millions,Central	Bank	Data
,Honduras,2022,"8,562.962187090",USD	millions,Central	Bank	Data
,Jamaica,2022,"2,085.613553975",USD	millions,Central	Bank	Data
,Mexico,2022,"55,864.008664",USD	millions,Central	Bank	Data
,Nicaragua,2022,"2,157",USD	millions,Central	Bank	Data
,Panama,2022,339.229475464,USD	millions,INEC
,Paraguay,2022,98.476961780,USD	millions,Central	Bank	Data
,Suriname,2022,17.256844373,USD	millions,Central	Bank	Data
United	States	Virgin	Islands,Mexico,2022,0.104929,USD	millions,Central	Bank	Data
,Panama,2022,0.003401734,USD	millions,INEC
Uruguay,Ecuador,2021,3.54366772,USD	millions,Central	Bank	Data
,Mexico,2022,10.319234,USD	millions,Central	Bank	Data
,Panama,2022,2.251356191,USD	millions,INEC
Uzbekistan,Ecuador,2021,0.22429882,USD	millions,Central	Bank	Data
,Mexico,2022,0.079288,USD	millions,Central	Bank	Data
Vanuatu,Ecuador,2021,0.0176409,USD	millions,Central	Bank	Data
Venezuela,Colombia,2022,14.716649206,USD	millions,Central	Bank	Data
,Ecuador,2021,1.69592466,USD	millions,Central	Bank	Data
,Mexico,2022,0.31243,USD	millions,Central	Bank	Data
,Panama,2022,0.201066621,USD	millions,INEC
Viet	Nam,Mexico,2022,0.001074,USD	millions,Central	Bank	Data
,Panama,2022,0.0007246,USD	millions,INEC
Yemen,Ecuador,2021,0.25918,USD	millions,Central	Bank	Data
,Mexico,2022,0.005701,USD	millions,Central	Bank	Data
Zambia,Ecuador,2021,0.01060072,USD	millions,Central	Bank	Data
,Mexico,2022,0.00067,USD	millions,Central	Bank	Data
Zimbabwe,Ecuador,2021,0.001468,USD	millions,Central	Bank	Data
,Mexico,2022,0.000329,USD	millions,Central	Bank	Data
