Series Name,Series Code,Country Name,Country Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,308.3182697,277.1180514,338.1399736,346.0716271,338.6372739,363.6401414,367.7583117,410.7577289,417.6472826,488.8306525,542.8710305,525.4269828,568.9290215,580.6038333,575.1462458,565.5697304,563.8723367,562.7695741,553.1251517,557.8615332,527.8345545,408.6258552,377.6656271,378.0663031,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,..,..,..,..,..,1823.48926,1890.021975,1905.063527,1885.6928,1823.323563,1818.02507,1883.740414,1831.947039,1772.179358,1894.878274,1682.881087,1218.964273,1138.23774,1254.678884,1367.22059,1558.966386,1683.769655,1495.900353,1630.438741,1841.807628,1991.914359,2188.918545,2297.108535,2428.689347,2567.297637,2712.869838,2894.360326,3105.879676,3345.981618,3459.246956,3579.824132,3677.894579,3720.228765,3790.680163,3883.632628,3981.726623,4143.989883,4283.982627,4452.237147,4563.467363,4437.653469,4880.723462,5178.884315,5444.930001,5726.025705
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,3290.827601,3408.018208,3459.303996,3672.11778,3830.809592,3742.710247,3731.939054,3840.575386,3912.936591,3993.395405,4002.556194,3888.364759,3746.165667,3606.268388,3666.853079,3605.687012,3478.509763,3455.929363,3302.919506,3201.569144,3255.187269,3322.955381,3297.466034,3410.882544,3471.491963,3553.324205,3610.006056,3754.660815,3945.898161,4066.282048,4223.602521,4279.615471,4339.250558,4367.56538,4336.100541,4456.610274,4501.354301,4518.43979,4543.23444,4634.101492,4685.059027,4768.731401,4742.900755,4717.003589,4672.664087,4363.685338,4456.746876,4544.466881,4660.405457,4747.346248
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13054.63643,13201.73475,13291.53566,13284.27911,12794.7565,13092.31114,12809.46331,12342.05754,12446.30863,12521.80951,12068.26674,11871.79372,12203.08947,12727.41027,12665.28299,11930.77712,12412.60241,12524.01603,13194.27474,13233.57848,13709.09749,..,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,40073.41037,39058.58866,38021.81983,36647.70204,34983.99909,34281.74395,32958.76504,31996.5442,31117.19623,30392.84207,29997.08627,29680.13294,30064.99797,30469.34424,31180.41233,31143.14687,29642.30598,28161.94249,26518.23363,26587.1383,27619.50606,28871.21607,31140.68968,31800.36407,32938.64374,34113.81738,36790.10371,38084.48431,39620.32016,40054.32115,40528.17486,41322.05292,40789.15897,37775.12614,35604.38401,36277.26444,37637.48683,36206.97843,35684.16943,37300.62442,38654.93472,40085.0206,39361.06226,39242.1449,39346.27503,34536.64992,36929.01915,39780.39661,40227.23353,41034.5074
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,..,..,..,..,..,2835.459185,2613.739386,2519.351585,2529.401923,2583.619826,2577.465092,2557.958838,2571.496919,2637.781855,2550.294313,2380.176243,2324.369376,2118.166545,1559.517152,1529.994431,1701.697277,1867.935031,1936.916193,1961.037225,1938.86184,1932.988479,1947.85673,2139.872597,2128.195793,2277.866965,2526.410579,2716.253026,2983.041873,3193.287723,3100.609274,3114.696086,3099.94229,3236.574945,3268.638907,3300.73511,3213.902611,3020.983328,2911.600842,2775.746423,2664.43851,2433.376373,2385.448818,2382.02264,2334.661043,2364.846591
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,..,..,6062.497309,6310.85528,6795.693191,7323.125855,7584.592527,7564.221824,7951.664826,8766.990576,9479.642511,10620.99819,11383.20247,12037.42653,12729.29043,13166.52412,13385.01144,13326.27288,13776.82641,14420.4694,13519.52877,14117.86791,14588.30798,14991.78026,15282.9734,15961.09184,15003.43892,14968.0703,15703.93471,16433.41305,17301.21343,19259.64865,20770.26897,20464.78631,17746.70086,16135.39738,15633.90911,15989.39002,15748.1952,15967.285,16077.63408,16635.89523,16992.93275,18042.15964,18525.25889,14950.89424,16084.72144,17456.87222,17789.40581,18468.99517
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,9936.495834,9584.748518,10088.33749,9480.940095,10284.60641,10275.7987,9587.673794,9365.684654,9617.700057,9614.447262,8973.318749,9378.468664,9484.458766,9236.807713,8445.410092,8115.093864,8729.823185,9293.186923,9920.673586,10359.89272,9934.107761,10352.14,11056.68813,11348.20221,10838.31993,10631.65036,10051.94485,8861.561993,9545.531941,10302.44653,11099.75092,11870.27916,12811.90212,13197.35703,12285.37847,13387.15537,14040.61891,13754.42542,13946.09508,13456.13192,13679.6265,13265.88606,13520.11298,13058.32854,12706.39781,11393.0506,12549.28117,13182.7934,12933.24973,12667.03137
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1644.022145,1426.827914,840.2052592,792.5678592,857.3944748,932.3578295,995.7282753,1039.079824,1128.098888,1180.45342,1229.215104,1351.120727,1535.204529,1759.646848,1955.222625,2240.092732,2551.435464,2919.373494,3141.331935,2716.974363,2796.081434,2943.836871,3159.758608,3266.29883,3393.092523,3512.393503,3533.885036,3815.374743,4027.83393,4343.458396,4032.090435,4264.799615,4791.004817,5197.23509,5378.318
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,17354.42115,20407.62021,24143.17128,26573.64791,26609.38407,27358.02171,27662.20341,27798.35533,28563.23361,28479.64527,27701.05041,28526.09757,28387.12996,28351.3719,30199.66128,31169.79691,30662.32171,30651.94576,32192.79195,31249.27804,31038.88987,31759.8232,32097.04022,28157.14899,27324.55543,28037.86979,27341.22743,28668.72042,27914.84334,27458.22533,27719.50073,29671.13583,30334.11622,29576.80971,21947.99533,27469.00562,29917.12803,31178.47368,..
