Sending Country,Receiving Country,Year,Value,Unit,Source
British Virgin Islands,Mexico,2022.0,0.007236,USD millions,Central Bank Data
British Virgin Islands,Panama,2022.0,0.064766636,USD millions,INEC
Brunei Darussalam,Ecuador,2021.0,0.00104482,USD millions,Central Bank Data
Bulgaria,Ecuador,2021.0,0.09197525,USD millions,Central Bank Data
Bulgaria,Mexico,2022.0,0.031933,USD millions,Central Bank Data
Bulgaria,Panama,2022.0,0.010352968,USD millions,INEC
Burkina Faso,Ecuador,2021.0,0.02703836,USD millions,Central Bank Data
Burkina Faso,Mexico,2022.0,0.098277,USD millions,Central Bank Data
Burundi,Ecuador,2021.0,0.001106,USD millions,Central Bank Data
Burundi,Mexico,2022.0,5.8e-05,USD millions,Central Bank Data
Cabo Verde,Ecuador,2021.0,0.02254153,USD millions,Central Bank Data
Cabo Verde,Mexico,2022.0,0.008431,USD millions,Central Bank Data
Cambodia,Ecuador,2021.0,0.010467,USD millions,Central Bank Data
Cambodia,Mexico,2022.0,0.011224,USD millions,Central Bank Data
Cameroon,Ecuador,2021.0,0.32855389,USD millions,Central Bank Data
Cameroon,Mexico,2022.0,0.148448,USD millions,Central Bank Data
Cameroon,Panama,2022.0,0.068733711,USD millions,INEC
Canada,Brazil,2022.0,88.11104413,USD millions,Central Bank Data
Canada,Chile,2021.0,14.375961662,USD millions,Central Bank Data
Canada,Colombia,2022.0,226.595455817,USD millions,Central Bank Data
Canada,Costa Rica,2022.0,64.675969163,USD millions,Central Bank Data
Canada,Dominican Republic,2022.0,64.675969163,USD millions,Central Bank Data
Canada,Ecuador,2021.0,49.43577867,USD millions,Central Bank Data
Canada,Haiti,2019.0,92.78574867,USD millions,Central Bank Data
Canada,Honduras,2022.0,13.52228638,USD millions,Central Bank Data
Canada,Jamaica,2022.0,297.878462532,USD millions,Central Bank Data
Canada,Mexico,2022.0,750.433214,USD millions,Central Bank Data
Canada,Nicaragua,2022.0,20.1,USD millions,Central Bank Data
Canada,Panama,2022.0,7.925555879,USD millions,INEC
Canada,Suriname,2022.0,1.247295849,USD millions,Central Bank Data
Cayman Islands,Colombia,2022.0,2.392407825,USD millions,Central Bank Data
Cayman Islands,Ecuador,2021.0,0.40104036,USD millions,Central Bank Data
Cayman Islands,Honduras,2022.0,1.72606866,USD millions,Central Bank Data
Cayman Islands,Jamaica,2022.0,174.760479679,USD millions,Central Bank Data
Cayman Islands,Mexico,2022.0,0.384943,USD millions,Central Bank Data
Cayman Islands,Panama,2022.0,0.150803386,USD millions,INEC
Central African Republic,Ecuador,2021.0,0.00332266,USD millions,Central Bank Data
Chad,Ecuador,2021.0,0.00195866,USD millions,Central Bank Data
Chad,Mexico,2022.0,0.000587,USD millions,Central Bank Data
Chile,Bolivia,2022.0,310.0,USD millions,Central Bank Data
Chile,Colombia,2022.0,482.354006081,USD millions,Central Bank Data
Chile,Ecuador,2021.0,144.48489191,USD millions,Central Bank Data
Chile,Haiti,2019.0,170.264649515,USD millions,Central Bank Data
Chile,Mexico,2022.0,58.293487,USD millions,Central Bank Data
Chile,Panama,2022.0,8.323886737,USD millions,INEC
Chile,Paraguay,2022.0,9.833799211,USD millions,Central Bank Data
China,Chile,2021.0,1.52573626,USD millions,Central Bank Data
China,Colombia,2022.0,0.902620728,USD millions,Central Bank Data
China,Ecuador,2021.0,1.62896649,USD millions,Central Bank Data
China,Mexico,2022.0,0.262623,USD millions,Central Bank Data
China,Panama,2022.0,0.358087957,USD millions,INEC
"China, Hong Kong SAR",Ecuador,2021.0,0.30181379,USD millions,Central Bank Data
"China, Hong Kong SAR",Mexico,2022.0,0.028872,USD millions,Central Bank Data
"China, Hong Kong SAR",Panama,2022.0,0.360325598,USD millions,INEC
"China, Macao SAR",Panama,2022.0,0.004601018,USD millions,INEC
"China, Taiwan Province of",Ecuador,2021.0,0.07381492,USD millions,Central Bank Data
China,Ecuador,2021.0,0.07381492,USD millions,Central Bank Data
China,Mexico,2022.0,0.003889,USD millions,Central Bank Data
China,Panama,2022.0,0.029001533,USD millions,INEC
Colombia,Chile,2021.0,10.826573272,USD millions,Central Bank Data
Colombia,Ecuador,2021.0,48.78118881,USD millions,Central Bank Data
Colombia,Mexico,2022.0,129.091259,USD millions,Central Bank Data
Colombia,Panama,2022.0,15.417618992,USD millions,INEC
Comoros,Mexico,2022.0,0.000259,USD millions,Central Bank Data
Congo,Mexico,2022.0,0.05657,USD millions,Central Bank Data
Congo,Panama,2022.0,0.013434995,USD millions,INEC
Costa Rica,Colombia,2022.0,28.211136338,USD millions,Central Bank Data
Costa Rica,Ecuador,2021.0,3.14762372,USD millions,Central Bank Data
Costa Rica,Honduras,2022.0,1.0977142,USD millions,Central Bank Data
Costa Rica,Mexico,2022.0,16.248115,USD millions,Central Bank Data
Costa Rica,Nicaragua,2022.0,185.3,USD millions,Central Bank Data
Costa Rica,Panama,2022.0,6.008642539,USD millions,INEC
Croatia,Ecuador,2021.0,0.06871717,USD millions,Central Bank Data
Croatia,Mexico,2022.0,0.023571,USD millions,Central Bank Data
Cuba,Ecuador,2021.0,0.00204,USD millions,Central Bank Data
Cuba,Mexico,2022.0,2.4e-05,USD millions,Central Bank Data
Curaçao,Colombia,2022.0,3.742219159,USD millions,Central Bank Data
Curaçao,Ecuador,2021.0,0.98085808,USD millions,Central Bank Data
Curaçao,Jamaica,2022.0,2.38631795,USD millions,Central Bank Data
Curaçao,Mexico,2022.0,0.03468,USD millions,Central Bank Data
Cyprus,Ecuador,2021.0,0.05351243,USD millions,Central Bank Data
Cyprus,Mexico,2022.0,0.014274,USD millions,Central Bank Data
Czechia,Ecuador,2021.0,0.24212332,USD millions,Central Bank Data
Czechia,Mexico,2022.0,0.037396,USD millions,Central Bank Data
Czechia,Panama,2022.0,0.065862787,USD millions,INEC
Dem. People's Republic of ..,Ecuador,2021.0,0.63828916,USD millions,Central Bank Data
Democratic Republic of the,Ecuador,2021.0,0.07578686,USD millions,Central Bank Data
Congo,Ecuador,2021.0,0.07578686,USD millions,Central Bank Data
Congo,Mexico,2022.0,0.377893,USD millions,Central Bank Data
Congo,Ecuador,2021.0,1.15053584,USD millions,Central Bank Data
