Sending_Country,Receiving_Country,Year,Value,Unit,Source,Region,Sending_Country_Code,Receiving_Country_Code,Sending_Country_GDP,Receiving_Country_GDP
Algeria,Senegal,2021,0.183414825,USD millions,BCEAO,Africa,DZA,SEN,199488.88815148498,24359.596784117002
Australia,Ethiopia,2020,13.59617511,USD millions,National Bank of Ethiopia,Africa,AUS,ETH,1491062.56626652,95071.77581198269
Australia,Kenya,2024,"184,497.099695719",USD millions,Central Bank of Kenya,Africa,AUS,KEN,1665257.959985,104575.203135656
Australia,Uganda,2022,22,USD millions,Bank of Uganda,Africa,AUS,UGA,1587133.48080453,44147.216889624004
Austria,Kenya,2024,"13,169.065145833",USD millions,Central Bank of Kenya,Africa,AUT,KEN,418190.370366673,104575.203135656
Bahamas,Kenya,2024,"1,453.632639905",USD millions,Central Bank of Kenya,Africa,BHS,KEN,13630.935977068899,104575.203135656
Bahrain,Kenya,2024,"5,004.769090469",USD millions,Central Bank of Kenya,Africa,BHR,KEN,41172.7091226258,104575.203135656
Bahrain,Morocco,2020,30.3408085,USD millions,Bank Al-Maghrib,Africa,BHR,MAR,34724.7741043146,114775.951852213
Belgium,Kenya,2024,"22,844.654997935",USD millions,Central Bank of Kenya,Africa,BEL,KEN,532530.656429071,104575.203135656
Belgium,Morocco,2020,387.629403,USD millions,Bank Al-Maghrib,Africa,BEL,MAR,470417.598101755,114775.951852213
Belgium,Senegal,2021,88.247787762,USD millions,BCEAO,Africa,BEL,SEN,499619.240040636,24359.596784117002
Benin,Senegal,2021,25.846190336,USD millions,BCEAO,Africa,BEN,SEN,15779.238957311702,24359.596784117002
Brazil,Senegal,2021,29.312422216,USD millions,BCEAO,Africa,BRA,SEN,1843881.1199202,24359.596784117002
Burkina Faso,Senegal,2021,35.216150094,USD millions,BCEAO,Africa,BFA,SEN,16396.8501825889,24359.596784117002
Cameroon,Senegal,2021,43.126214245,USD millions,BCEAO,Africa,CMR,SEN,38854.942334576896,24359.596784117002
Canada,Ethiopia,2020,33.89159808,USD millions,National Bank of Ethiopia,Africa,CAN,ETH,1611126.16562503,95071.77581198269
Canada,Kenya,2024,"130,812.76972775",USD millions,Central Bank of Kenya,Africa,CAN,KEN,1833284.62168446,104575.203135656
Canada,Morocco,2020,99.802037,USD millions,Bank Al-Maghrib,Africa,CAN,MAR,1611126.16562503,114775.951852213
Canada,Senegal,2021,2.866648143,USD millions,BCEAO,Africa,CAN,SEN,1706996.67967769,24359.596784117002
Canada,Uganda,2022,82.1,USD millions,Bank of Uganda,Africa,CAN,UGA,1778503.389905,44147.216889624004
Central African Republic,Senegal,2021,11.097456712,USD millions,BCEAO,Africa,CAF,SEN,2024.49702649048,24359.596784117002
Chad,Senegal,2021,8.390086853,USD millions,BCEAO,Africa,TCD,SEN,15284.005406165199,24359.596784117002
China,Kenya,2024,"5,981.681937719",USD millions,Central Bank of Kenya,Africa,CHN,KEN,18488114.8377693,104575.203135656
China,Senegal,2021,0.358772173,USD millions,BCEAO,Africa,CHN,SEN,16199162.8929086,24359.596784117002
China,Uganda,2022,7,USD millions,Bank of Uganda,Africa,CHN,UGA,16706875.2536485,44147.216889624004
"Congo, Dem. Rep.",Uganda,2022,21,USD millions,Bank of Uganda,Africa,COD,UGA,52355.4947157899,44147.216889624004
"Congo, Rep.",Senegal,2021,61.407592705,USD millions,BCEAO,Africa,COG,SEN,10027.2616697995,24359.596784117002
Côte d'Ivoire,Kenya,2024,"4,351.233359615",USD millions,Central Bank of Kenya,Africa,CIV,KEN,76346.66796511861,104575.203135656
Côte d'Ivoire,Senegal,2021,89.989410749,USD millions,BCEAO,Africa,CIV,SEN,63620.99243848179,24359.596784117002
Denmark,Morocco,2020,28.261131,USD millions,Bank Al-Maghrib,Africa,DNK,MAR,326176.991232295,114775.951852213
Denmark,Senegal,2021,5.476232008,USD millions,BCEAO,Africa,DNK,SEN,350255.593092935,24359.596784117002
Djibouti,Ethiopia,2020,185.47649889,USD millions,National Bank of Ethiopia,Africa,DJI,ETH,3065.13571311422,95071.77581198269
Egypt,Kenya,2024,"2,710.849916951",USD millions,Central Bank of Kenya,Africa,EGY,KEN,482189.77921263204,104575.203135656
Equatorial Guinea,Senegal,2021,4.981180446,USD millions,BCEAO,Africa,GNQ,SEN,9652.08529325754,24359.596784117002
France,Kenya,2024,"25,420.562300568",USD millions,Central Bank of Kenya,Africa,FRA,KEN,2702385.0113175,104575.203135656
France,Morocco,2020,"2,740.1718325",USD millions,Bank Al-Maghrib,Africa,FRA,MAR,2413981.86767636,114775.951852213
France,Senegal,2021,"1,630.192958418",USD millions,BCEAO,Africa,FRA,SEN,2580120.25505175,24359.596784117002
Gabon,Senegal,2021,110.182458279,USD millions,BCEAO,Africa,GAB,SEN,15398.898313837299,24359.596784117002
Germany,Ethiopia,2020,61.4673327,USD millions,National Bank of Ethiopia,Africa,DEU,ETH,3522914.6397119197,95071.77581198269
Germany,Kenya,2024,"197,764.185703727",USD millions,Central Bank of Kenya,Africa,DEU,KEN,3683559.54524029,104575.203135656
Germany,Morocco,2020,349.588167,USD millions,Bank Al-Maghrib,Africa,DEU,MAR,3522914.6397119197,114775.951852213
Germany,Senegal,2021,81.314844041,USD millions,BCEAO,Africa,DEU,SEN,3652205.60290436,24359.596784117002
Germany,Uganda,2022,27.9,USD millions,Bank of Uganda,Africa,DEU,UGA,3702230.99691575,44147.216889624004
Greece,Senegal,2021,7.552688969,USD millions,BCEAO,Africa,GRC,SEN,203277.223532871,24359.596784117002
Guinea-Bissau,Senegal,2021,20.567153363,USD millions,BCEAO,Africa,GNB,SEN,1497.07263573124,24359.596784117002
India,Kenya,2024,"20,594.869099147",USD millions,Central Bank of Kenya,Africa,IND,KEN,3477476.26413411,104575.203135656
India,Senegal,2021,0.067644659,USD millions,BCEAO,Africa,IND,SEN,2779348.25893877,24359.596784117002
Iraq,Kenya,2024,"18,473.974825301",USD millions,Central Bank of Kenya,Africa,IRQ,KEN,192469.260104189,104575.203135656
Israel,Ethiopia,2020,16.12958144,USD millions,National Bank of Ethiopia,Africa,ISR,ETH,349579.824803208,95071.77581198269
Italy,Ethiopia,2020,40.64448902,USD millions,National Bank of Ethiopia,Africa,ITA,ETH,1751650.98723543,95071.77581198269
Italy,Kenya,2024,"33,857.169027017",USD millions,Central Bank of Kenya,Africa,ITA,KEN,2029012.87528216,104575.203135656
Italy,Morocco,2020,696.568306,USD millions,Bank Al-Maghrib,Africa,ITA,MAR,1751650.98723543,114775.951852213
Italy,Senegal,2021,966.610341655,USD millions,BCEAO,Africa,ITA,SEN,1908092.02482083,24359.596784117002
Italy,Uganda,2022,10.4,USD millions,Bank of Uganda,Africa,ITA,UGA,2000084.51291956,44147.216889624004
Japan,Kenya,2024,"6,019.671359217",USD millions,Central Bank of Kenya,Africa,JPN,KEN,4605054.52689198,104575.203135656
Japan,Uganda,2022,10.7,USD millions,Bank of Uganda,Africa,JPN,UGA,4534320.57875585,44147.216889624004
Kenya,Uganda,2022,29.3,USD millions,Bank of Uganda,Africa,KEN,UGA,94807.911027625,44147.216889624004
Kuwait,Ethiopia,2020,13.69625133,USD millions,National Bank of Ethiopia,Africa,KWT,ETH,112389.02689049201,95071.77581198269
Kuwait,Morocco,2020,107.6373625,USD millions,Bank Al-Maghrib,Africa,KWT,MAR,112389.02689049201,114775.951852213
Lebanon,Ethiopia,2020,72.80490292,USD millions,National Bank of Ethiopia,Africa,LBN,ETH,36728.1671628739,95071.77581198269
Libya,Senegal,2021,8.0158e-05,USD millions,BCEAO,Africa,LBY,SEN,55179.0915328781,24359.596784117002
Luxembourg,Senegal,2021,10.453967042,USD millions,BCEAO,Africa,LUX,SEN,70965.93444076739,24359.596784117002
Malawi,Kenya,2024,"2,348.468507446",USD millions,Central Bank of Kenya,Africa,MWI,KEN,11964.445581275,104575.203135656
Mali,Senegal,2021,59.378847294,USD millions,BCEAO,Africa,MLI,SEN,19530.3363785945,24359.596784117002
Mauritania,Senegal,2021,0.056017187,USD millions,BCEAO,Africa,MRT,SEN,7198.48187357489,24359.596784117002
Morocco,Senegal,2021,2.328185595,USD millions,BCEAO,Africa,MAR,SEN,124135.631043727,24359.596784117002
Namibia,Kenya,2020,22.27557275,USD millions,Central Bank of Kenya,Africa,NAM,KEN,10335.1845461643,84035.13834685899
Namibia,Morocco,2020,275.3155765,USD millions,Bank Al-Maghrib,Africa,NAM,MAR,10335.1845461643,114775.951852213
New Zealand,Kenya,2024,"2,997.798884179",USD millions,Central Bank of Kenya,Africa,NZL,KEN,221100.836865781,104575.203135656
Niger,Senegal,2021,13.518544121,USD millions,BCEAO,Africa,NER,SEN,12821.067681411101,24359.596784117002
Nigeria,Kenya,2024,"7,235.873538576",USD millions,Central Bank of Kenya,Africa,NGA,KEN,569515.2942711341,104575.203135656
Norway,Ethiopia,2020,13.01269086,USD millions,National Bank of Ethiopia,Africa,NOR,ETH,405005.642242722,95071.77581198269
Norway,Kenya,2024,"20,219.725544913",USD millions,Central Bank of Kenya,Africa,NOR,KEN,443943.701526195,104575.203135656
Norway,Morocco,2020,28.665825,USD millions,Bank Al-Maghrib,Africa,NOR,MAR,405005.642242722,114775.951852213
Norway,Senegal,2021,0.001034610,USD millions,BCEAO,Africa,NOR,SEN,420836.04419195803,24359.596784117002
Oman,Kenya,2024,"8,642.361559321",USD millions,Central Bank of Kenya,Africa,OMN,KEN,91453.5859772428,104575.203135656
Oman,Morocco,2020,19.470278,USD millions,Bank Al-Maghrib,Africa,OMN,MAR,80246.67066085809,114775.951852213
Oman,Uganda,2022,8.7,USD millions,Bank of Uganda,Africa,OMN,UGA,88892.5169401985,44147.216889624004
Portugal,Senegal,2021,28.855230561,USD millions,BCEAO,Africa,PRT,SEN,214984.15236951903,24359.596784117002
Qatar,Kenya,2024,"69,232.138058795",USD millions,Central Bank of Kenya,Africa,QAT,KEN,177724.60042445,104575.203135656
Qatar,Morocco,2020,137.6072015,USD millions,Bank Al-Maghrib,Africa,QAT,MAR,161416.82376897198,114775.951852213
Qatar,Uganda,2022,23,USD millions,Bank of Uganda,Africa,QAT,UGA,170908.03635371,44147.216889624004
Saudi Arabia,Ethiopia,2020,137.49327083,USD millions,National Bank of Ethiopia,Africa,SAU,ETH,720270.347023098,95071.77581198269
Saudi Arabia,Kenya,2024,"404,105.02454433",USD millions,Central Bank of Kenya,Africa,SAU,KEN,879583.64309682,104575.203135656
Saudi Arabia,Morocco,2020,532.442406,USD millions,Bank Al-Maghrib,Africa,SAU,MAR,720270.347023098,114775.951852213
Saudi Arabia,Uganda,2022,195.7,USD millions,Bank of Uganda,Africa,SAU,UGA,859301.066620788,44147.216889624004
Somalia,Uganda,2022,30,USD millions,Bank of Uganda,Africa,SOM,UGA,8194.20688451117,44147.216889624004
South Africa,Ethiopia,2020,67.93372415,USD millions,National Bank of Ethiopia,Africa,ZAF,ETH,337307.31867963896,95071.77581198269
South Africa,Kenya,2024,"24,095.095706679",USD millions,Central Bank of Kenya,Africa,ZAF,KEN,365414.753361996,104575.203135656
South Africa,Senegal,2021,14.579840557,USD millions,BCEAO,Africa,ZAF,SEN,354021.006263537,24359.596784117002
South Africa,Uganda,2022,28.7,USD millions,Bank of Uganda,Africa,ZAF,UGA,360788.046853641,44147.216889624004
South Sudan,Ethiopia,2020,11.33937986,USD millions,National Bank of Ethiopia,Africa,SSD,ETH,,95071.77581198269
South Sudan,Kenya,2024,"5,789.706224355",USD millions,Central Bank of Kenya,Africa,SSD,KEN,,104575.203135656
South Sudan,Uganda,2022,113.3,USD millions,Bank of Uganda,Africa,SSD,UGA,,44147.216889624004
